ID,信贷额度百分比,信贷额度（万元）,信贷利率,,,,,
E124,0.004805798,48.05798,0.075,,,,,
E125,0.004727015,47.27015,0.0765,,,,,
E126,0.005829985,58.29985,0.069,,,,,
E127,0.005593634,55.93634,0.0735,,,,,
E128,0.005908769,59.08769,0.0675,,,,,
E129,0.005751201,57.51201,0.0705,,,,,
E130,0.005593634,55.93634,0.072,,,,,
E131,0.005751201,57.51201,0.069,,,,,
E132,0.005514851,55.14851,0.075,,,,,
E133,0,0,0,,,,,
E134,0.005908769,59.08769,0.0645,,,,,
E135,0.00638147,63.8147,0.0645,,,,,
E136,0,0,0,,,,,
E137,0.006223903,62.23903,0.066,,,,,
E138,0.005357284,53.57284,0.0675,,,,,
E139,0.005593634,55.93634,0.0735,,,,,
E140,0.00638147,63.8147,0.0645,,,,,
E141,0.006460254,64.60254,0.066,,,,,
E142,0.007563224,75.63224,0.0615,,,,,
E143,0.007011739,70.11739,0.066,,,,,
E144,0.005829985,58.29985,0.066,,,,,
E145,0.004884582,48.84582,0.0705,,,,,
E146,0.004884582,48.84582,0.072,,,,,
E147,0.005908769,59.08769,0.0705,,,,,
E148,0.005593634,55.93634,0.0765,,,,,
E149,0.005357284,53.57284,0.075,,,,,
E150,0.005672418,56.72418,0.066,,,,,
E151,0.005908769,59.08769,0.0735,,,,,
E152,0.007720791,77.20791,0.06,,,,,
E153,0.005514851,55.14851,0.075,,,,,
E154,0.004254313,42.54313,0.0765,,,,,
E155,0.004333097,43.33097,0.075,,,,,
E156,0.005751201,57.51201,0.0705,,,,,
E157,0.004805798,48.05798,0.072,,,,,
E158,0.005436067,54.36067,0.069,,,,,
E159,0,0,0,,,,,
E160,0.006066336,60.66336,0.069,,,,,
E161,0.005357284,53.57284,0.075,,,,,
E162,0.006460254,64.60254,0.075,,,,,
E163,0.007405657,74.05657,0.0645,,,,,
E164,0.005357284,53.57284,0.0675,,,,,
E165,0.005436067,54.36067,0.072,,,,,
E166,0.005042149,50.42149,0.072,,,,,
E167,0,0,0,,,,,
E168,0.005672418,56.72418,0.069,,,,,
E169,0.005593634,55.93634,0.0675,,,,,
E170,0.005199716,51.99716,0.0675,,,,,
E171,0.005829985,58.29985,0.0645,,,,,
E172,0.007563224,75.63224,0.06,,,,,
E173,0,0,0,,,,,
E174,0.005357284,53.57284,0.0675,,,,,
E175,0.004333097,43.33097,0.075,,,,,
E176,0.006775388,67.75388,0.0705,,,,,
E177,0,0,0,,,,,
E178,0.004017963,40.17963,0.075,,,,,
E179,0.005514851,55.14851,0.069,,,,,
E180,0.004805798,48.05798,0.0675,,,,,
E181,0.004333097,43.33097,0.075,,,,,
E182,0.004884582,48.84582,0.072,,,,,
E183,0.004727015,47.27015,0.0675,,,,,
E184,0.004648231,46.48231,0.066,,,,,
E185,0.005987552,59.87552,0.072,,,,,
E186,0.004805798,48.05798,0.0675,,,,,
E187,0,0,0,,,,,
E188,0.004490664,44.90664,0.069,,,,,
E189,0.004884582,48.84582,0.063,,,,,
E190,0.005120933,51.20933,0.0705,,,,,
E191,0,0,0,,,,,
E192,0,0,0,,,,,
E193,0.005199716,51.99716,0.072,,,,,
E194,0.005593634,55.93634,0.072,,,,,
E195,0.007326873,73.26873,0.0645,,,,,
E196,0.005199716,51.99716,0.075,,,,,
E197,0.007563224,75.63224,0.0615,,,,,
E198,0.003545261,35.45261,0.075,,,,,
E199,0.0052785,52.785,0.0765,,,,,
E200,0.003466478,34.66478,0.075,,,,,
E201,0.006617821,66.17821,0.0645,,,,,
E202,0.005199716,51.99716,0.072,,,,,
E203,0.004727015,47.27015,0.066,,,,,
E204,0.006696604,66.96604,0.0705,,,,,
E205,0.004805798,48.05798,0.069,,,,,
E206,0.005514851,55.14851,0.069,,,,,
E207,0.005042149,50.42149,0.0735,,,,,
E208,0,0,0,,,,,
E209,0.0052785,52.785,0.063,,,,,
E210,0.005436067,54.36067,0.0735,,,,,
E211,0.00417553,41.7553,0.0705,,,,,
E212,0.005593634,55.93634,0.069,,,,,
E213,0.006066336,60.66336,0.0705,,,,,
E214,0.004648231,46.48231,0.0675,,,,,
E215,0.005514851,55.14851,0.072,,,,,
E216,0.0052785,52.785,0.0645,,,,,
E217,0,0,0,,,,,
E218,0.004963366,49.63366,0.069,,,,,
E219,0.004254313,42.54313,0.075,,,,,
E220,0.004963366,49.63366,0.0735,,,,,
E221,0.004569448,45.69448,0.0765,,,,,
E222,0.005987552,59.87552,0.0705,,,,,
E223,0.005829985,58.29985,0.0765,,,,,
E224,0,0,0,,,,,
E225,0.004727015,47.27015,0.0675,,,,,
E226,0.004254313,42.54313,0.0705,,,,,
E227,0.004254313,42.54313,0.072,,,,,
E228,0.004884582,48.84582,0.066,,,,,
E229,0,0,0,,,,,
E230,0.004017963,40.17963,0.072,,,,,
E231,0.003860395,38.60395,0.0735,,,,,
E232,0.006223903,62.23903,0.0765,,,,,
E233,0.004254313,42.54313,0.0765,,,,,
E234,0.004805798,48.05798,0.066,,,,,
E235,0.003545261,35.45261,0.0735,,,,,
E236,0.004096746,40.96746,0.0735,,,,,
E237,0.003939179,39.39179,0.0735,,,,,
E238,0.00417553,41.7553,0.072,,,,,
E239,0,0,0,,,,,
E240,0,0,0,,,,,
E241,0.003781612,37.81612,0.069,,,,,
E242,0,0,0,,,,,
E243,0.005908769,59.08769,0.0675,,,,,
E244,0.003781612,37.81612,0.069,,,,,
E245,0.003624045,36.24045,0.0705,,,,,
E246,0.004411881,44.11881,0.066,,,,,
E247,0.003781612,37.81612,0.063,,,,,
E248,0.005199716,51.99716,0.069,,,,,
E249,0.006145119,61.45119,0.069,,,,,
E250,0.00417553,41.7553,0.0675,,,,,
E251,0,0,0,,,,,
E252,0.003781612,37.81612,0.072,,,,,
E253,0.003860395,38.60395,0.069,,,,,
E254,0.004333097,43.33097,0.0645,,,,,
E255,0.003860395,38.60395,0.0675,,,,,
E256,0.004254313,42.54313,0.0645,,,,,
E257,0.004096746,40.96746,0.069,,,,,
E258,0.007169306,71.69306,0.06,,,,,
E259,0.004333097,43.33097,0.066,,,,,
E260,0.003466478,34.66478,0.069,,,,,
E261,0.005987552,59.87552,0.06,,,,,
E262,0.00330891,33.0891,0.075,,,,,
E263,0.00417553,41.7553,0.066,,,,,
E264,0,0,0,,,,,
E265,0.003545261,35.45261,0.0735,,,,,
E266,0.004333097,43.33097,0.0645,,,,,
E267,0.004884582,48.84582,0.0735,,,,,
E268,0.003860395,38.60395,0.0735,,,,,
E269,0.004254313,42.54313,0.0675,,,,,
E270,0.003151343,31.51343,0.0705,,,,,
E271,0.005120933,51.20933,0.0735,,,,,
E272,0.002836209,28.36209,0.066,,,,,
E273,0.003781612,37.81612,0.0675,,,,,
E274,0,0,0,,,,,
E275,0.005042149,50.42149,0.0735,,,,,
E276,0.003860395,38.60395,0.066,,,,,
E277,0,0,0,,,,,
E278,0.002521075,25.21075,0.0705,,,,,
E279,0.003860395,38.60395,0.0705,,,,,
E280,0.002757425,27.57425,0.0735,,,,,
E281,0,0,0,,,,,
E282,0.003624045,36.24045,0.069,,,,,
E283,0.003466478,34.66478,0.066,,,,,
E284,0.003624045,36.24045,0.0645,,,,,
E285,0.003466478,34.66478,0.0735,,,,,
E286,0.00307256,30.7256,0.0705,,,,,
E287,0.003230127,32.30127,0.0675,,,,,
E288,0.002521075,25.21075,0.075,,,,,
E289,0.005908769,59.08769,0.063,,,,,
E290,0.003781612,37.81612,0.063,,,,,
E291,0,0,0,,,,,
E292,0.005357284,53.57284,0.0615,,,,,
E293,0,0,0,,,,,
E294,0.003860395,38.60395,0.066,,,,,
E295,0.00330891,33.0891,0.069,,,,,
E296,0.004254313,42.54313,0.0645,,,,,
E297,0,0,0,,,,,
E298,0.003702828,37.02828,0.069,,,,,
E299,0,0,0,,,,,
E300,0.003939179,39.39179,0.069,,,,,
E301,0.00417553,41.7553,0.066,,,,,
E302,0.00330891,33.0891,0.063,,,,,
E303,0.003860395,38.60395,0.066,,,,,
E304,0.002678642,26.78642,0.0765,,,,,
E305,0.004411881,44.11881,0.072,,,,,
E306,0.002836209,28.36209,0.066,,,,,
E307,0.003702828,37.02828,0.0645,,,,,
E308,0.002836209,28.36209,0.0735,,,,,
E309,0.002914993,29.14993,0.0735,,,,,
E310,0.003624045,36.24045,0.066,,,,,
E311,0.003860395,38.60395,0.072,,,,,
E312,0,0,0,,,,,
E313,0.0052785,52.785,0.063,,,,,
E314,0.002993776,29.93776,0.0675,,,,,
E315,0.00330891,33.0891,0.063,,,,,
E316,0.002836209,28.36209,0.066,,,,,
E317,0.004411881,44.11881,0.066,,,,,
E318,0.002757425,27.57425,0.0705,,,,,
E319,0.002284724,22.84724,0.0735,,,,,
E320,0,0,0,,,,,
E321,0.005357284,53.57284,0.0615,,,,,
E322,0.002521075,25.21075,0.0735,,,,,
E323,0.002914993,29.14993,0.069,,,,,
E324,0,0,0,,,,,
E325,0,0,0,,,,,
E326,0.002678642,26.78642,0.0705,,,,,
E327,0.002757425,27.57425,0.0735,,,,,
E328,0.004884582,48.84582,0.066,,,,,
E329,0.00417553,41.7553,0.0765,,,,,
E330,0.00307256,30.7256,0.066,,,,,
E331,0.003230127,32.30127,0.0675,,,,,
E332,0.004017963,40.17963,0.075,,,,,
E333,0.002993776,29.93776,0.069,,,,,
E334,0.002836209,28.36209,0.069,,,,,
E335,0.002678642,26.78642,0.072,,,,,
E336,0,0,0,,,,,
E337,0.002836209,28.36209,0.0675,,,,,
E338,0.002521075,25.21075,0.066,,,,,
E339,0.002284724,22.84724,0.069,,,,,
E340,0.004490664,44.90664,0.069,,,,,
E341,0.002599858,25.99858,0.066,,,,,
E342,0.002757425,27.57425,0.063,,,,,
E343,0.00220594,22.0594,0.0735,,,,,
E344,0,0,0,,,,,
E345,0.002678642,26.78642,0.063,,,,,
E346,0.001024187,10.24187,0.0765,,,,,
E347,0.002442291,24.42291,0.066,,,,,
E348,0.002284724,22.84724,0.0705,,,,,
E349,0,0,0,,,,,
E350,0.002599858,25.99858,0.0675,,,,,
E351,0.00220594,22.0594,0.0735,,,,,
E352,0,0,0,,,,,
E353,0.002836209,28.36209,0.0705,,,,,
E354,0.002284724,22.84724,0.072,,,,,
E355,0,0,0,,,,,
E356,0.001733239,17.33239,0.0765,,,,,
E357,0,0,0,,,,,
E358,0,0,0,,,,,
E359,0.001733239,17.33239,0.0765,,,,,
E360,0,0,0,,,,,
E361,0.002048373,20.48373,0.0735,,,,,
E362,0.002678642,26.78642,0.072,,,,,
E363,0.002521075,25.21075,0.0675,,,,,
E364,0.002678642,26.78642,0.063,,,,,
E365,0.004096746,40.96746,0.069,,,,,
E366,0.002442291,24.42291,0.0765,,,,,
E367,0.003781612,37.81612,0.075,,,,,
E368,0.003230127,32.30127,0.0765,,,,,
E369,0.003545261,35.45261,0.069,,,,,
E370,0.002599858,25.99858,0.075,,,,,
E371,0.002363507,23.63507,0.0705,,,,,
E372,0.002599858,25.99858,0.0645,,,,,
E373,0,0,0,,,,,
E374,0.00196959,19.6959,0.075,,,,,
E375,0.001812022,18.12022,0.0765,,,,,
E376,0,0,0,,,,,
E377,0.002442291,24.42291,0.069,,,,,
E378,0.001654455,16.54455,0.0765,,,,,
E379,0.004727015,47.27015,0.0615,,,,,
E380,0,0,0,,,,,
E381,0,0,0,,,,,
E382,0,0,0,,,,,
E383,0,0,0,,,,,
E384,0.002284724,22.84724,0.0765,,,,,
E385,0,0,0,,,,,
E386,0.002442291,24.42291,0.075,,,,,
E387,0,0,0,,,,,
E388,0.002127157,21.27157,0.069,,,,,
E389,0.001496888,14.96888,0.0765,,,,,
E390,0,0,0,,,,,
E391,0.001812022,18.12022,0.0765,,,,,
E392,0.002836209,28.36209,0.0735,,,,,
E393,0,0,0,,,,,
E394,0.002521075,25.21075,0.0765,,,,,
E395,0.003702828,37.02828,0.0675,,,,,
E396,0.002048373,20.48373,0.0765,,,,,
E397,0,0,0,,,,,
E398,0.003545261,35.45261,0.066,,,,,
E399,0.00220594,22.0594,0.072,,,,,
E400,0.001733239,17.33239,0.0765,,,,,
E401,0.00220594,22.0594,0.0705,,,,,
E402,0,0,0,,,,,
E403,0.002521075,25.21075,0.066,,,,,
E404,0,0,0,,,,,
E405,0,0,0,,,,,
E406,0,0,0,,,,,
E407,0.002521075,25.21075,0.0675,,,,,
E408,0.00220594,22.0594,0.072,,,,,
E409,0.002363507,23.63507,0.066,,,,,
E410,0.002993776,29.93776,0.0705,,,,,
E411,0,0,0,,,,,
E412,0.00196959,19.6959,0.072,,,,,
E413,0.002127157,21.27157,0.0705,,,,,
E414,0,0,0,,,,,
E415,0,0,0,,,,,
E416,0,0,0,,,,,
E417,0.001575672,15.75672,0.0735,,,,,
E418,0.002048373,20.48373,0.0735,,,,,
E419,0,0,0,,,,,
E420,0,0,0,,,,,
E421,0.002284724,22.84724,0.072,,,,,
E422,0,0,0,,,,,
E423,0,0,0,,,,,
E424,0,0,0,,,,,
E425,0.001890806,18.90806,0.0735,,,,,
